District,Senator,Link,Party,Counties,
1,Doug Bronson,https://www.flsenate.gov/Senators/S01,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",
2,George B. Gainer,https://www.flsenate.gov/Senators/S02,Republican,"Consists of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",
3,Bill Montford,https://www.flsenate.gov/Senators/S03,Democrat,"Consists of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",
4,Aaron Bean,https://www.flsenate.gov/Senators/S04,Republican,Consists of Nassau county and part of Duval county,
5,Bob Bradley,https://www.flsenate.gov/Senators/S05,Republican,"Consists of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",
6,Audrey Gibson,https://www.flsenate.gov/Senators/S06,Democrat,Consists of part of Duval county,
7,Travis Hutson,https://www.flsenate.gov/Senators/S07,Republican,"Consists of Flagler, St. Johns counties and part of Volusia county",
8,Keith Perry,https://www.flsenate.gov/Senators/S08,Republican,"Consists of Alachua, Putnam counties and part of Marion county",
9,David Simmons,https://www.flsenate.gov/Senators/S09,Republican,Consists of Seminole county and part of Volusia county,
10,Wilton Simpson,https://www.flsenate.gov/Senators/S10,Republican,"Consists of Citrus, Hernando counties and part of Pasco county",
11,Randolph Bracy,https://www.flsenate.gov/Senators/S11,Democrat,Consists of part of Orange county,
12,Dennis Baxley,https://www.flsenate.gov/Senators/S12,Republican,"Consists of Sumter county and parts of Lake, Marion counties",
13,Linda Stewart,https://www.flsenate.gov/Senators/S13,Democrat,Consists of part of Orange county,
14,Tom A. Wright,https://www.flsenate.gov/Senators/S14,Republican,"Consists of parts of Brevard, Volusia counties",
15,"Victor M. Torres, Jr.",https://www.flsenate.gov/Senators/S15,Democrat,Consists of Osceola county and part of Orange county,
16,Ed Hooper,https://www.flsenate.gov/Senators/S16,Republican,"Consists of parts of Pasco, Pinellas counties",
17,Debbie Mayfield,https://www.flsenate.gov/Senators/S17,Republican,Consists of Indian River county and part of Brevard county,
18,Janet Cruz,https://www.flsenate.gov/Senators/S18,Democrat,Consists of part of Hillsborough county,
19,Darryl Ervin Rouson,https://www.flsenate.gov/Senators/S19,Democrat,"Consists of parts of Hillsborough, Pinellas counties",
21,Bill Galvano,https://www.flsenate.gov/Senators/S21,Republican,Consists of Manatee county and part of Hillsborough county,
22,Kelli Stargel,https://www.flsenate.gov/Senators/S22,Republican,"Consists of parts of Lake, Polk counties",
23,Joe Gruters,https://www.flsenate.gov/Senators/S23,Republican,Consists of Sarasota county and part of Charlotte county,
24,Jeff Brandes,https://www.flsenate.gov/Senators/S24,Republican,Consists of part of Pinellas county,
25,Gayle Harrell,https://www.flsenate.gov/Senators/S25,Republican,"Consists of Martin, St. Lucie counties and part of Palm Beach county",
26,Ben Albritton,https://www.flsenate.gov/Senators/S26,Republican,"Consists of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",
27,Lizbeth Benacquisto,https://www.flsenate.gov/Senators/S27,Republican,Consists of part of Lee county,
28,Kathleen Passidomo,https://www.flsenate.gov/Senators/S28,Republican,"Consists of Collier, Hendry counties and part of Lee county",
29,Kevin J. Rader,https://www.flsenate.gov/Senators/S29,Democrat,"Consists of parts of Broward, Palm Beach counties",
30,Bobby Powell,https://www.flsenate.gov/Senators/S30,Democrat,Consists of part of Palm Beach county,
31,Lori Berman,https://www.flsenate.gov/Senators/S31,Democrat,Consists of part of Palm Beach county,
32,Lauren Book,https://www.flsenate.gov/Senators/S32,Democrat,Consists of part of Broward county,
33,"Perry E. Thurston, Jr.",https://www.flsenate.gov/Senators/S33,Democrat,Consists of part of Broward county,
34,"Gary M. Farmer, Jr.",https://www.flsenate.gov/Senators/S34,Democrat,Consists of part of Broward county,
35,Oscar Braynon II,https://www.flsenate.gov/Senators/S35,Democrat,"Consists of parts of Broward, Miami-Dade counties",
36,"Manny Diaz, Jr.",https://www.flsenate.gov/Senators/S36,Republican,Consists of part of Miami-Dade county,
37,Jose J. Rodriguez,https://www.flsenate.gov/Senators/S37,Democrat,Consists of part of Miami-Dade county,
38,Jason W.B. Pizzo,https://www.flsenate.gov/Senators/S38,Democrat,Consists of part of Miami-Dade county,
39,Anitere Flores,https://www.flsenate.gov/Senators/S39,Republican,Consists of Monroe county and part of Miami-Dade county,
40,Annette Taddeo,https://www.flsenate.gov/Senators/S40,Democrat,Consists of part of Miami-Dade county,
